AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,CHIEFDOM_N,REGION,DISTRICT,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
Mobile Money,Afrimoney,Retailer Agent,,,10 Kissy Town Road,Bo,BO TOWN,SOUTHERN,BO,,,,77408704,-11.73983,7.96656,
Mobile Money,Afrimoney,Master Agent,,,15 Kissy Town Road,Bo,BO TOWN,SOUTHERN,BO,,,,33656859,-11.73982,7.96701,
Mobile Money,Afrimoney,Retailer Agent,,,12 Prince William Street,Bo,BO TOWN,SOUTHERN,BO,,,,88000507,-11.7398,7.95967,
Mobile Money,Afrimoney,Retailer Agent,,,18 Kissy Town Road,Bo,BO TOWN,SOUTHERN,BO,,,,99874551,-11.73978,7.96724,
Mobile Money,Afrimoney,Retailer Agent,,,7 Mission Road,Bo,BO TOWN,SOUTHERN,BO,,,,88443966,-11.73975,7.96374,
Mobile Money,Afrimoney,Retailer Agent,,,Tikonko Road,Bo,BO TOWN,SOUTHERN,BO,,,,88800507,-11.73972,7.95988,
Mobile Money,Afrimoney,Retailer Agent,,,21 Kissy Town Road,Bo,BO TOWN,SOUTHERN,BO,,,,30574227,-11.73952,7.96762,
Mobile Money,Afrimoney,Retailer Agent,,,7 Tikonko Rd,Bo,BO TOWN,SOUTHERN,BO,,,,80039922,-11.73951,7.96064,
Mobile Money,Afrimoney,Retailer Agent,,,Banard Kamara St Clock Tower,Bo,BO TOWN,SOUTHERN,BO,,,,80203808,-11.73946,7.95973,
Mobile Money,Afrimoney,Retailer Agent,,,Kamara Street,Bo,BO TOWN,SOUTHERN,BO,,,,88951843,-11.73941,7.95973,
Mobile Money,Afrimoney,Retailer Agent,,,1 Musa Street,Bo,BO TOWN,SOUTHERN,BO,,,,99877011,-11.7394,7.968,
Mobile Money,Afrimoney,Retailer Agent,,,Bo Clock Tower,Bo,BO TOWN,SOUTHERN,BO,,,,88951843,-11.73935,7.95973,
Mobile Money,Afrimoney,Retailer Agent,,,22 King Street,Bo,BO TOWN,SOUTHERN,BO,,,,33704587,-11.73916,7.96584,
Mobile Money,Afrimoney,Retailer Agent,,,14 Bojon Street,Bo,BO TOWN,SOUTHERN,BO,,,,33469140,-11.73902,7.96558,
Mobile Money,Afrimoney,Retailer Agent,,,Kissy Town Road,Bo,BO TOWN,SOUTHERN,BO,,,,88825075,-11.73901,7.96929,
Mobile Money,Afrimoney,Retailer Agent,,,22 Kisssy Town Road,Bo,BO TOWN,SOUTHERN,BO,,,,88825075,-11.73898,7.96931,
Mobile Money,Afrimoney,Retailer Agent,,,Thomas Street,Bo,BO TOWN,SOUTHERN,BO,,,,88152063,-11.73891,7.95979,
Mobile Money,Afrimoney,Retailer Agent,,,Lewabu Junction,Bo,BO TOWN,SOUTHERN,BO,,,,30842617,-11.73859,7.94637,
Mobile Money,Afrimoney,Retailer Agent,,,Y Junction,Bo,BO TOWN,SOUTHERN,BO,,,,30079188,-11.73845,7.98068,
Mobile Money,Afrimoney,Retailer Agent,,,Y Junction,Bo,BO TOWN,SOUTHERN,BO,,,,30079188,-11.73843,7.98074,
Mobile Money,Afrimoney,Retailer Agent,,,Gbanja Town Junction,Bo,BO TOWN,SOUTHERN,BO,,,,30079188,-11.73838,7.98086,
Mobile Money,Afrimoney,Retailer Agent,,,22 Ngieya Road,Bo,BO TOWN,SOUTHERN,BO,,,,33280573,-11.73826,7.96869,
Mobile Money,Afrimoney,Retailer Agent,,,Fenton Road Market,Bo,BO TOWN,SOUTHERN,BO,,,,80344920,-11.73758,7.96524,
Mobile Money,Afrimoney,Retailer Agent,,,Ngaya Road,Bo,BO TOWN,SOUTHERN,BO,,,,80039292,-11.73757,7.96864,
Mobile Money,Afrimoney,Retailer Agent,,,91 Mahei Boima Road,Bo,BO TOWN,SOUTHERN,BO,,,,33792289,-11.73749,7.96975,
Mobile Money,Afrimoney,Retailer Agent,,,Ngiya Road,Bo,BO TOWN,SOUTHERN,BO,,,,33820645,-11.73741,7.96858,
Mobile Money,Afrimoney,Retailer Agent,,,Ngiya Road,Bo,BO TOWN,SOUTHERN,BO,,,,80099668,-11.73736,7.96863,
Mobile Money,Afrimoney,Retailer Agent,,,AGIP,Bo,BO TOWN,SOUTHERN,BO,,,,77903148,-11.73666,7.96579,
Mobile Money,Afrimoney,Retailer Agent,,,Ngalu Road,Bo,BO TOWN,SOUTHERN,BO,,,,33791948,-11.73656,7.96586,
Mobile Money,Afrimoney,Retailer Agent,,,Musa Street Park,Bo,BO TOWN,SOUTHERN,BO,,,,30038770,-11.7365,7.94504,
Mobile Money,Afrimoney,Retailer Agent,,,7 Dambala Road,Bo,BO TOWN,SOUTHERN,BO,,,,80929611,-11.73625,7.95877,
Mobile Money,Afrimoney,Retailer Agent,,,6 Suku Tamba Street,Bo,BO TOWN,SOUTHERN,BO,,,,33148928,-11.7343,7.96397,
Mobile Money,Afrimoney,Retailer Agent,,,25 Ngalu Road,Bo,BO TOWN,SOUTHERN,BO,,,,33250895,-11.73398,7.96707,
Mobile Money,Afrimoney,Retailer Agent,,,Prince Williams,Bo,BO TOWN,SOUTHERN,BO,,,,99408594,-11.73313,7.95803,
Mobile Money,Afrimoney,Retailer Agent,,,Prince Williams Street,Bo,BO TOWN,SOUTHERN,BO,,,,99408594,-11.73311,7.9581,
Mobile Money,Afrimoney,Retailer Agent,,,Prince Williams Street,Bo,BO TOWN,SOUTHERN,BO,,,,99408594,-11.73311,7.95804,
Mobile Money,Afrimoney,Retailer Agent,,,10 Main Sewa Road,Bo,BO TOWN,SOUTHERN,BO,,,,99279127,-11.73268,7.95692,
Mobile Money,Afrimoney,Retailer Agent,,,3 Kakua Lane,New Gerihun Road Bo,BO TOWN,SOUTHERN,BO,,,,30293310,-11.73233,7.95799,
Mobile Money,Afrimoney,Master Agent,,,25 Bo Taiama Highway,Bo,BO TOWN,SOUTHERN,BO,,,,80042040,-11.73147,7.94366,
Mobile Money,Afrimoney,Retailer Agent,,,152 Old Railway Line Messima Bo,Bo,BO TOWN,SOUTHERN,BO,,,,99791316,-11.73047,7.95255,
Mobile Money,Afrimoney,Retailer Agent,,,163 Old Railway Line Messima,Bo,BO TOWN,SOUTHERN,BO,,,,88467316,-11.72927,7.95234,
Mobile Money,Afrimoney,Retailer Agent,,,Main Sewa Road,Bo,BO TOWN,SOUTHERN,BO,,,,80912968,-11.72862,7.94509,
Mobile Money,Afrimoney,Retailer Agent,,,Sewa Road Keke Park,Bo,BO TOWN,SOUTHERN,BO,,,,80912968,-11.72861,7.94513,
Mobile Money,Afrimoney,Retailer Agent,,,76 Ngalu Road,Bo,BO TOWN,SOUTHERN,BO,,,,33150765,-11.72845,7.96933,
Mobile Money,Afrimoney,Retailer Agent,,,76 Ngalu Road,Bo,BO TOWN,SOUTHERN,BO,,,,33150765,-11.72842,7.96934,
Mobile Money,Afrimoney,Retailer Agent,,,17 Ngalu Road,Bo,BO TOWN,SOUTHERN,BO,,,,33150765,-11.7284,7.96931,
Mobile Money,Afrimoney,Retailer Agent,,,Bo Kenema High Way,Bo,BO TOWN,SOUTHERN,BO,,,,80740822,-11.72762,7.94503,
Mobile Money,Afrimoney,Retailer Agent,,,8 Bo/Kenema Highway,Bo,BO TOWN,SOUTHERN,BO,,,,30458192,-11.72755,7.94496,
Mobile Money,Afrimoney,Retailer Agent,,,"8 Bo/ Kenema Highway, Shellmingo",Bo,BO TOWN,SOUTHERN,BO,,,,99581064,-11.72754,7.94499,
Mobile Money,Afrimoney,Retailer Agent,,,Shelmingo Junction,Bo,BO TOWN,SOUTHERN,BO,,,,80740822,-11.72752,7.94505,
Mobile Money,Afrimoney,Retailer Agent,,,Gbendava Street,Bo,BO TOWN,SOUTHERN,BO,,,,33149325,-11.72598,7.96043,
Mobile Money,Afrimoney,Retailer Agent,,,99 Ngalu Rd Comperehensive School Junction,Bo,BO TOWN,SOUTHERN,BO,,,,80100127,-11.72564,7.96964,
Mobile Money,Afrimoney,Retailer Agent,,,99 Ngalu Road,Bo,BO TOWN,SOUTHERN,BO,,,,80100127,-11.72557,7.96965,
Mobile Money,Afrimoney,Retailer Agent,,,Bo No.2 Extension,Bo,BO TOWN,SOUTHERN,BO,,,,80492135,-11.72503,7.98268,
Mobile Money,Afrimoney,Retailer Agent,,,241 Old Railway Line Messima,Bo,BO TOWN,SOUTHERN,BO,,,,33378103,-11.72341,7.95006,
Mobile Money,Afrimoney,Retailer Agent,,,218 Old Railway Line,Bo,BO TOWN,SOUTHERN,BO,,,,30047866,-11.72321,7.94975,
Mobile Money,Afrimoney,Retailer Agent,,,113 New Gerihun Road,Bo,BO TOWN,SOUTHERN,BO,,,,90369845,-11.72071,7.95581,
Mobile Money,Afrimoney,Retailer Agent,,,156 Bo Taiama Highway Parmedical Campus,Bo,BO TOWN,SOUTHERN,BO,,,,33161449,-11.7197,7.96617,
Mobile Money,Afrimoney,Retailer Agent,,,4 Battu Street,Bo,BO TOWN,SOUTHERN,BO,,,,30636007,-11.71952,7.95865,
