AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,CHIEFDOM,REGION,DISTRICT,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
ATM,ECOBANK (SL) LIMITED,On-Site,Bank,ECOBANK (SL) LIMITED,2 Flower Corner,Makeni,MAKENI CITY,NORTHERN,BOMBALI,,,,,-12.04339,8.8882,
ATM,ECOBANK (SL) LIMITED,Off-Site,Filing Station,NP Filing Station,"139 Main Motor Road, Regent",FREETOWN,MOUNTAIN RURAL,WESTERN,WESTERN RURAL,,,,,-13.21858,8.43492,
ATM,ECOBANK (SL) LIMITED,On-Site,Bank,Microfinance,15 Gbawurra Road,Kabala,WARA WARA YAGALA,NORTHERN,KOINADUGU,,,,,-11.54892,9.58754,
ATM,ECOBANK (SL) LIMITED,Off-Site,Filing Station,Total Filing Station,"59 Alpha Bah, Jui",FREETOWN,WATERLOO RURAL,WESTERN,WESTERN RURAL,,,,,-13.14417,8.394,
ATM,ECOBANK (SL) LIMITED,On-Site,Bank,Microfinance,"New Road, Tombo Junction, Waterloo",FREETOWN,WATERLOO RURAL,WESTERN,WESTERN RURAL,,,,,-13.07014,8.33082,
ATM,ECOBANK (SL) LIMITED,Off-Site,Filing Station,Total Filing Station,"41 Main Motor Road, Brookfields",FREETOWN,WEST I,WESTERN,WESTERN URBAN,,,,,-13.24779,8.47767,
ATM,ECOBANK (SL) LIMITED,Off-Site,Family Kingdom Resort,Family Kingdom Resort,"Family Kingdom Resort, Aberdeen",FREETOWN,WEST III,WESTERN,WESTERN URBAN,,,,,-13.29177,8.49271,
ATM,ECOBANK (SL) LIMITED,Off-Site,Supermarket,Supermarket,"51 Main Motor Road, Juba",FREETOWN,WEST III,WESTERN,WESTERN URBAN,,,,,-13.27912,8.44689,
ATM,ECOBANK (SL) LIMITED,On-Site,Bank,ECOBANK (SL) LIMITED,147P Wilkinson Road,FREETOWN,WEST III,WESTERN,WESTERN URBAN,,,,,-13.27337,8.47673,
ATM,ECOBANK (SL) LIMITED,Off-Site,Filing Station,Total Filing Station,"Total Filing Sation, Wilberforce",FREETOWN,WEST III,WESTERN,WESTERN URBAN,,,,,-13.2621,8.46853,
ATM,ECOBANK (SL) LIMITED,On-Site,Bank,Microfinance,Congo Cross,FREETOWN,WEST III,WESTERN,WESTERN URBAN,,,,,-13.25944,8.48292,
ATM,FBN Bank (SL) Limited,On-Site,Bank,FBN Bank (SL) Limited,3 Charlotte Street,FREETOWN,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23412,8.48937,
ATM,FBN Bank (SL) Limited,On-Site,Bank,FBN Bank (SL) Limited,3 Charlotte Street,FREETOWN,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23412,8.48937,
ATM,FBN Bank (SL) Limited,On-Site,Bank,FBN Bank (SL) Limited,"5 Ross Road, Cline Town",FREETOWN,EAST I,WESTERN,WESTERN URBAN,,,,,-13.21283,8.48358,
ATM,FBN Bank (SL) Limited,On-Site,Bank,FBN Bank (SL) Limited,Masiaka Yonibana Highway,Waterloo,WATERLOO RURAL,WESTERN,WESTERN RURAL,,,,,-13.0712,8.33333,
