AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,Chiefdom,Region,District,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
Foreign Exchange Bureaus,Jaffa Foreign Exchange Bureau Limited,HQ,,,11 Dundas Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.239422,8.478352,
Foreign Exchange Bureaus,Kaibass Foreign Exchange Bureau (SL) Limited,HQ,,,"29 Freetown Road, Lumley",Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.270904,8.457791,
Foreign Exchange Bureaus,Kakua Foreign Exchange Bureau Ltd ,HQ,,,"17 Charlotte Street, Freetown ",Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.234124,8.489368,
Foreign Exchange Bureaus,Kallah Foreign Exchange Bureau,HQ,,,17 Sani Abacha Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.228816,8.488167,
Foreign Exchange Bureaus,Kesuma and Son Foreign Exchange Bureau,HQ,,,53 Bai Bureh Road,Freetown,EAST III,WESTERN,WESTERN URBAN,,,,,-13.202756,8.479227,
Foreign Exchange Bureaus,Kurako Foreign Exchange Bureau Limited,HQ,,,63 Goderich Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.228147,8.487099,
Foreign Exchange Bureaus,Leigh Foreign Exchange Bureau Limited,HQ,,,7 Sani Abacha Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.228816,8.488167,
Foreign Exchange Bureaus,Lion Foreign Exchange Bureau Limited,HQ,,,11 Siaka Stevens Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.235435,8.487331,
Foreign Exchange Bureaus,Lionwing Foreign Exchange Bureau limited,HQ,,,148 Wilkinson Road,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.273371,8.476726,
Foreign Exchange Bureaus,London Foreign Exchange Bureau Limited,HQ,,,36 Krootown Road,Freetown,WEST I,WESTERN,WESTERN URBAN,,,,,-13.242339,8.483471,
Foreign Exchange Bureaus,Lug ABSB Foreign Exchange Bureau Limited,HQ,,,16 Free Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.229669,8.487303,
Foreign Exchange Bureaus,Malama Foreign Exchange Bureau Limited,HQ,,,9 Sackville Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.228846,8.487512,
Foreign Exchange Bureaus,Manawa Foreign Exchange Bureau Limited,HQ,,,Sierra Light House Hotel,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.291784,8.495647,
Foreign Exchange Bureaus,Mara  Foreign Exchange Bureau Limited,HQ,,,23 Syke Street,Freetown,WEST I,WESTERN,WESTERN URBAN,,,,,-13.246345,8.481616,
Foreign Exchange Bureaus,Mara-D Foreign Exchange Bureau Limited,HQ,,,26 Siaka Stevens Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.235435,8.487331,
Foreign Exchange Bureaus,Mariana Foreign Exchange Bureau Limited,HQ,,,70 Wilkinson Road,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.273371,8.476726,
Foreign Exchange Bureaus,Mercy Foreign Exchange Bureau Limited,HQ,,,10 Sanders Street,Freetown,WEST I,WESTERN,WESTERN URBAN,,,,,-13.241191,8.481403,
Foreign Exchange Bureaus,Micro Bit Foreign Exchange Bureau limited,HQ,,,24 Pademba Road,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.235692,8.486882,
Foreign Exchange Bureaus,Millenium Foreign Exchange Bureau Limited,HQ,,,31 Bathurst Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.237473,8.485225,
Foreign Exchange Bureaus,Millenium Foreign Exchange Bureau Limited,HQ,,,75 Siaka Stevens Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.235435,8.487331,
Foreign Exchange Bureaus,Money Market Foreign Exchange Bureau (SL) Limited,HQ,,,13 Howe Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.233177,8.48913,
Foreign Exchange Bureaus,Monorma Foreign Exchange Bureau,HQ,,,24 Ecowas Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.231634,8.490214,
Foreign Exchange Bureaus,MTS International Foreign Exchange Bureau Limited,HQ,,,17 Rawdon Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.232683,8.489483,
Foreign Exchange Bureaus,Muriel Foreign Exchange Bureau,HQ,,,26 Lightfoot Boston Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.235137,8.489646,
Foreign Exchange Bureaus,Navo�s International Foreign Exchange Bureau Limited,HQ,,,52 Siaka Stevens Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.235435,8.487331,
Foreign Exchange Bureaus,Ndereh Foreign Exchange Bureau Limited,HQ,,,60 Goderich Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.228147,8.487099,
Foreign Exchange Bureaus,New Market Financial Services Foreign Exchange Bureau (SL) Ltd,HQ,,,"35 Regent Road, Lumley",Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.263528,8.452027,
Foreign Exchange Bureaus,Nimo Foreign Exchange Bureau Limited,HQ,,,47 Siaka Stevens Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.235435,8.487331,
Foreign Exchange Bureaus,Optimum Foreign Exchange Bureau,HQ,,,"49 Victoria Street, Aberdeen",Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.283908,8.491496,
Foreign Exchange Bureaus,Paramount Foreign Exchange Bureau Limited,HQ,,,9 Rawdon Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.232683,8.489483,
Foreign Exchange Bureaus,Pee Cee Foreign Exchange Bureau,HQ,,,10 Sani Abacha Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.228816,8.488167,
Foreign Exchange Bureaus,Plaza Foreign Exchange Bureau Limited,HQ,,,38 Spur Road,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.269239,8.461787,
Foreign Exchange Bureaus,Pottal Foreign Exchange Bureau Limited,HQ,,,18 Wilberforce Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.231362,8.488755,
Foreign Exchange Bureaus,Rahman Foreign Exchange Bureau Limited,HQ,,,9 Lumley Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.228803,8.487562,
Foreign Exchange Bureaus,Raju�s Foreign Exchange Bureau Limited,HQ,,,71 Siaka Stevens Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.235435,8.487331,
Foreign Exchange Bureaus,Royal Ark Foreign Exchange Bureau Limited,HQ,,,10 Howe Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.233177,8.48913,
Foreign Exchange Bureaus,Rushian�s Base Foreign Exchange Bureau,HQ,,,28 Siaka Stevens Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.235435,8.487331,
Foreign Exchange Bureaus,S A Beckley Foreign Exchange Bureau Limited,HQ,,,2 Campbell Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.239813,8.477818,
Foreign Exchange Bureaus,Sewah Foreign Exchange Bureau,HQ,,,33 Bai Bureh Road,Freetown,EAST III,WESTERN,WESTERN URBAN,,,,,-13.202756,8.479227,
Foreign Exchange Bureaus,Sierra Leone Postal Services Foreign Exchange Bureau Limited,HQ,,,27 Siaka Stevens Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.235435,8.487331,
Foreign Exchange Bureaus,SKM Foreign Exchange Bureau (SL) Limited,HQ,,,368 Bai Bureh Road,Freetown,EAST III,WESTERN,WESTERN URBAN,,,,,-13.202756,8.479227,
Foreign Exchange Bureaus,Skytech Foreign Exchange Bureau Limited,HQ,,,16 Wilberforce Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.231362,8.488755,
Foreign Exchange Bureaus,Smashing Foreign Exchange Bureau Limited,HQ,,,47 Kissy Road,Freetown,EAST II,WESTERN,WESTERN URBAN,,,,,-13.212653,8.483164,
Foreign Exchange Bureaus,Tanue Foreign Exchange Bureau  Limited,HQ,,,40 Rawdon Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.231798,8.488481,
Foreign Exchange Bureaus,Ultimate Foreign Exchange Bureau,HQ,,,89 Peninsular Road,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.274774,8.452917,
Foreign Exchange Bureaus,Vanbhari Foreign Exchange Bureau Limited,HQ,,,34 Rawdon Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.232038,8.488924,
Foreign Exchange Bureaus,Vanbhari Foreign Exchange Bureau Limited,HQ,,,57 Siaka Stevens Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.235435,8.487331,
Foreign Exchange Bureaus,Wallah Foreign Exchange Bureau limited,HQ,,,102 Kissy Road,Freetown,EAST II,WESTERN,WESTERN URBAN,,,,,-13.212653,8.483164,
Foreign Exchange Bureaus,Wara Wara Gulf Foreign Exchange Bureau Limited,HQ,,,135 Fourah Bay Road,Freetown,EAST I,WESTERN,WESTERN URBAN,,,,,-13.213797,8.489272,
Foreign Exchange Bureaus,Wickburn Foreign Exchange Bureau Limited,HQ,,,4 Lightfoot Boston Street ,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.237478,8.4878,
Foreign Exchange Bureaus,Wurie Foreign Exchange Bureau Company Limited,HQ,,,16 Lumley Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.230229,8.487867,
