AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,CHIEFDOM,REGION,DISTRICT,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
MFI Credit taking,TXT Africa (SL) Limited,HQ,,,2 Old Railway Line,Freetown,WEST II,WESTERN,WESTERN URBAN,,,,,-13.25841,8.47534,
MFI Credit taking,Imperi Trust SL Ltd,HQ,,,9 Bailey Street,Freetown,WEST II,WESTERN,WESTERN URBAN,,,,,-13.24323,8.47574,
MFI Credit taking,Wintays Finance Limited,HQ,,,14 dillet Street,Freetown,WEST II,WESTERN,WESTERN URBAN,,,,,-13.2388,8.47686,
MFI Credit taking,WATU (SL) Limited,HQ,,,7 Sir Samuel Lewis Road,Freetown.,WEST III,WESTERN,WESTERN URBAN,,,,,-13.28101,8.49223,
MFI Credit taking,Development Initiative  Programme Microfinance (DIProM) Limited,HQ,,,6 Peninsular Road,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.27477,8.45292,
MFI Credit taking,Munafa Limited,HQ,,,83 Peninsular Road,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.27477,8.45292,
MFI Credit taking,Oya Micro-Credit Company Ltd,HQ,,,91 Wilkinson Road,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.27337,8.47673,
MFI Credit taking,Royal Microfinance Limited,HQ,,,20 Wilkinson Road,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.27337,8.47673,
MFI Credit taking,Goshen Micro Finance Market Limited,HQ,,,25 Spur Road,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.26872,8.4677,
MFI Credit taking,ASA Microfinance (SL) Limited,HQ,,,"64 Lumley Road, Wilberforce",Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.26838,8.46312,
MFI Credit taking,ASA Microfinance (SL) Limited,HQ,,,"64 Lumley Road, Wilberforce",Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.26838,8.46312,
MFI Credit taking,BRAC Microfinance (SL) Limited,HQ,,,"23 Old Lumley Road,  Wilberforce ",Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.26733,8.46588,
MFI Credit taking,Fech-IT Global Limited,HQ,,,"32 Gordon Drive, regent Road, Lumley",Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.26539,8.45088,
MFI Credit taking,Airvantage Technology SL Ltd,HQ,,,29 Charles Street,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.26441,8.47522,
MFI Credit taking,Canaan Land Microfinance (SL) Limited,HQ,,,35 Charles Street,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.26441,8.47522,
MFI Credit taking,Empire Solution (SL) limited,HQ,,,13 Regent Road Lumley,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.26353,8.45203,
MFI Credit taking,Gracemon Investment Company Limited,HQ,,,"55 Regent Road, Lumley",Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.26353,8.45203,
MFI Credit taking,JEM Microcredit Solutions Limited,HQ,,,"20C Regent Road, Lumley",Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.26353,8.45203,
MFI Credit taking,AfriCredit (SL) Limited,HQ,,,"1 Pivot Street, Wilberforce",Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.26321,8.47518,
MFI Credit taking,Trus-SL,HQ,,,10 Murray Town Road,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.26114,8.48687,
MFI Credit taking,Harvest Microfinance (HaMFI) Limited,HQ,,,Freetown Lumley Mall (B10),Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.26102,8.47983,
